Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,425.1637,2.0,425.1638,,,,428.0774,428.5768,427.571,428.0774,426.1688,94.0,427.5709,428.5768,429.0762,429.0763,430.7551,1547.1,430.7553,4.0,431.7541,2.0,6.0,66.0,8.0,1.0,1.4,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,431.7543,2.0,431.7544,,,,434.0712,434.5706,433.5648,434.0711,432.7601,27.0,433.5647,434.5706,435.07,435.07,436.1037,866.3,436.1038,4.0,437.1027,2.0,7.0,67.0,5.0,1.0,0.8,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,437.1029,2.0,437.1031,,,,440.0165,440.5156,439.5101,440.0164,438.1087,59.0,439.5099,440.5158,441.0153,441.0153,442.4096,1082.1,442.4097,2.0,443.4086,2.0,8.0,68.0,28.0,1.0,1.4,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,443.4088,2.0,443.4089,,,,446.524,447.0229,446.0175,446.5238,444.4152,170.0,446.0174,447.0229,447.5224,447.5224,449.5334,1699.2,449.5334,4.0,450.5333,2.0,9.0,69.0,4.0,1.0,1.6,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,450.5337,2.0,450.5338,,,,453.4475,453.9465,452.9411,453.4475,451.5394,32.0,452.9409,453.9466,454.4461,454.4462,455.7781,1207.1,455.7784,2.0,456.7768,2.0,10.0,70.0,13.0,1.0,1.4,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,456.7773,2.0,456.7774,,,,459.6909,460.1897,459.1845,459.6908,457.7832,179.0,459.1844,460.1897,460.6896,460.6896,461.6457,942.9,461.6458,1.0,462.6458,2.0,11.0,71.0,23.0,1.0,1.4,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,462.6461,2.0,462.6463,,,,465.163,465.6612,464.6566,465.1629,463.6508,201.0,464.6565,465.6612,466.1607,466.1607,467.494,922.5,467.4941,2.0,468.4939,2.0,12.0,72.0,16.0,1.0,1.0,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,468.4941,2.0,468.4943,,,,471.0111,471.5116,470.5048,471.011,469.4988,104.0,470.5048,471.5116,472.011,472.011,472.9605,686.3,472.9606,1.0,473.9604,2.0,13.0,73.0,11.0,1.0,1.0,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,473.9608,2.0,473.9609,,,,476.6794,477.1794,476.1724,476.6793,474.9666,156.0,476.1724,477.1794,477.6788,477.6788,479.1209,1171.5,479.121,3.0,480.1207,2.0,14.0,74.0,22.0,1.0,1.2,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,480.1211,2.0,480.1212,,,,483.236,483.7351,482.7295,483.2359,481.1256,258.0,482.7294,483.7351,484.2345,484.2345,486.0029,1490.9,486.0032,2.0,487.0024,2.0,15.0,75.0,14.0,1.0,1.6,0.3,Time
